pci,distance_ft,jammer_dist_ft,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,306,-6
1,5,15,15,1.0,25,114000,46,7,13,3,27.3,-15.3,1,27,155000,25,11,30,0,286,4
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,306,-6
1,5,15,15,1.0,25,20000,9,2,18,0,27.7,-15.2,1,27,34000,6,2,25,0,283,5
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,298,-6
1,5,15,15,1.0,25,888,1,0,0,0,28.8,-14.2,1,27,17000,3,0,0,0,270,5
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,311,-6
1,5,15,15,1.0,25,888,1,0,0,0,24.5,-16.0,1,27,21000,2,2,50,0,274,1
1,10,15,11,1.0,15,2000,4,0,0,0,n/a,n/a,1,0,0,0,0,0,0,333,-6
1,5,15,15,1.0,25,888,1,1,50,0,28.1,-14.5,1,25,13000,2,1,33,0,264,4
1,10,15,11,1.0,0,0,0,0,0,0,30.5,-5.3,1,27,4900,1,0,0,0,276,-7
1,5,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,267,4
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,329,-7
1,5,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,280,4
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,325,-7
1,5,15,15,1.0,0,0,0,0,0,0,28.8,-14.1,1,27,4900,1,0,0,0,268,6
1,10,15,11,1.0,0,0,0,0,0,0,30.5,-5.8,1,27,4900,1,0,0,0,283,-4
1,5,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,253,6
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,302,-4
1,5,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,258,6
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,305,-4
1,5,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,269,6
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,308,-4
1,5,15,15,1.0,24,3400,4,1,20,0,24.2,-15.8,1,25,38000,6,5,45,0,253,12
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,307,-4
1,5,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,251,12
1,10,15,11,1.0,0,0,0,0,0,0,27.6,-8.3,1,27,9700,2,2,50,0,280,-5
1,5,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,276,12
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,262,-5
1,5,15,15,1.0,24,3400,4,2,33,0,n/a,n/a,1,0,0,0,0,0,0,264,12
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,293,-5
1,5,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,271,12
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,272,-5
1,5,15,15,1.0,24,1700,2,1,33,0,30.1,-14.0,1,27,9700,2,0,0,0,264,5
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,292,-5
1,5,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,271,5
1,10,15,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,290,-5
1,5,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,268,5
1,10,15,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,263,-5
1,5,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,260,5
1,10,15,7,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,287,-5
1,5,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,279,5
1,10,15,8,1.0,3,0,0,72,100,0,n/a,n/a,1,0,0,0,0,0,0,481,-5
1,5,15,15,1.0,20,0,0,95,100,3,26.2,-14.7,1,26,42000,9,22,70,0,334,6
1,10,15,6,1.0,2,24,1,122,99,0,-2.1,-35.6,1,27,0,0,5,100,0,313,-5
1,5,15,15,1.0,19,0,0,105,100,0,26.6,-13.3,1,27,38000,8,11,57,0,361,6
1,10,15,7,1.0,2,0,0,36,100,0,-4.0,-15.9,1,0,928,1,0,0,0,271,-11
1,5,15,15,1.0,19,0,0,113,100,0,27.8,-12.4,1,27,43000,9,16,64,0,375,6
1,10,15,5,1.0,0,0,0,0,0,0,9.7,-15.6,1,0,1100,1,0,0,0,202,-13
